title|company|location|url|deadline|date_posted|match_score|score_notes|score_breakdown
Equity Monitoring and Evaluation Manager|Wellcome Trust|London|https://wellcome.wd3.myworkdayjobs.com/Wellcome/job/London/Equity-Monitoring-and-Evaluation-Manager_R-002655-1||2026-03-24|33|Adjacent role and sector fit at Wellcome (UK health funder) but M&E equity focus only tangentially matches; London location and senior-level manager role are positives.|"{""role"": 40, ""sector"": 50, ""location"": 100, ""seniority"": 60}"
Motorista|FHI 360|Nampula, Mozambique|https://fhi.wd1.myworkdayjobs.com/FHI_360_External_Career_Portal/job/Nampula-Mozambique/Motorista_Requisition-2026200473||2026-03-24|0|Dealbreaker: location (Mozambique) not in target locations. Driver role not in target roles.|"{""role"": 0, ""sector"": 25, ""location"": 0, ""seniority"": 60}"
Researcher|International Institute for Environment and Development|United Kingdom of Great Britain and Northern Ireland|https://reliefweb.int/node/4204245|2026-04-12|2026-03-24|28|Researcher role (20) not in target roles. IIED is international development (sector 50). Location UK (100) and seniority mid/senior (100) are strong.|"{""role"": 20, ""sector"": 50, ""location"": 100, ""seniority"": 100}"
Associate Rehabilitation Officer|World Health Organization|Ukraine|https://reliefweb.int/node/4204222|2026-04-06|2026-03-24|51|Officer role matches target Human Rights Officer. WHO rehabilitation health work is adjacent sector. Location Ukraine (Eastern Europe, target). Associate level below target seniority.|"{""role"": 40, ""sector"": 50, ""location"": 100, ""seniority"": 30}"
Consultancy for the Design and Operationalisation of a National MRV System for Sustainable Agriculture and Investments in Productive Landscapes|International Union for Conservation of Nature|Mozambique|https://reliefweb.int/node/4204220|2026-04-10|2026-03-24|0|Dealbreaker: location (Mozambique) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 20, ""sector"": 25, ""location"": 0, ""seniority"": 60}"
Senior Program Consultant(s)- India Multicity locations Note: Individual Consultant March 2026|Girl Effect|India|https://reliefweb.int/node/4204167|2026-04-07|2026-03-24|20|Dealbreaker: location (India) not in target locations. Senior Consultant aligned role/seniority but location is outside target.|"{""role"": 80, ""sector"": 50, ""location"": 0, ""seniority"": 100}"
ECHO Programme Manager (m/f/d), Sudan|German Red Cross|Sudan|https://reliefweb.int/node/4204162|2026-04-07|2026-03-24|0|Dealbreaker: location (Sudan) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 100, ""sector"": 50, ""location"": 0, ""seniority"": 100}"
19858 Chief Information Officer (CIO)/Director, Information and Communications Technology (ICT) (D2) Geneva, Switzerland|International Organization for Migration|Switzerland|https://reliefweb.int/node/4204150|2026-04-01|2026-03-24|0|Dealbreaker: director in title is a dealbreaker keyword. CIO/ICT Director function not in target roles. Switzerland location is target.|"{""role"": 0, ""sector"": 50, ""location"": 100, ""seniority"": 100}"
Planning, Monitoring, Evaluation and Learning Adviser|Pacific Community|Fiji|https://reliefweb.int/node/4204137|2026-04-26|2026-03-24|0|Dealbreaker: location (Fiji) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 60, ""sector"": 25, ""location"": 0, ""seniority"": 100}"
Assistant Finance Manager, WCS Thailand|Wildlife Conservation Society|Thailand|https://reliefweb.int/node/4204145|2026-04-24|2026-03-24|0|Dealbreaker: finance in title is a dealbreaker keyword.|"{""role"": 0, ""sector"": 25, ""location"": 0, ""seniority"": 100}"
Education in Emergencies Specialist|Plan International|Chad|https://reliefweb.int/node/4204233|2026-04-06|2026-03-24|0|Dealbreaker: location (Chad) not in target locations (EU/Remote/UK/Switzerland/Armenia/Portugal/Eastern Europe/Central Asia).|"{""role"": 40, ""sector"": 40, ""location"": 0, ""seniority"": 100}"
Project Coordinator (Food Security)|Platform for Peace and Humanity||https://reliefweb.int/node/4203381|2026-03-31|2026-03-24|0|Dealbreaker: volunteer position is a dealbreaker keyword. Remote is target location but unpaid role disqualifies.|"{""role"": 80, ""sector"": 40, ""location"": 90, ""seniority"": 60}"
